claim_id,seed,guard_mode,attack_class,theta,mutation_rate,false_accept_rate,false_reject_rate,far,frr,far_contraction_ratio,trace_hash_integrity_pass_rate,audit_link_completeness
HM-TH-03,31,protocol_only,covered,0.85,0.01,0.1108,0.1355,0.1108,0.1355,0.6155555555555555,0.0,1.0
HM-TH-03,43,protocol_only,covered,0.85,0.01,0.1108,0.1355,0.1108,0.1355,0.6155555555555555,0.0,1.0
HM-TH-03,97,protocol_only,covered,0.85,0.01,0.1108,0.1355,0.1108,0.1355,0.6155555555555555,0.0,1.0
HM-TH-03,17,protocol_only,covered,0.85,0.05,0.114,0.1355,0.114,0.1355,0.6333333333333334,0.0,1.0
HM-TH-03,31,protocol_only,covered,0.85,0.05,0.114,0.1355,0.114,0.1355,0.6333333333333334,0.0,1.0
HM-TH-03,43,protocol_only,covered,0.85,0.05,0.114,0.1355,0.114,0.1355,0.6333333333333334,0.0,1.0
HM-TH-03,97,protocol_only,covered,0.85,0.05,0.114,0.1355,0.114,0.1355,0.6333333333333334,0.0,1.0
HM-TH-03,17,protocol_only,uncovered,0.55,0.0,0.2,0.1265,0.2,0.1265,0.7692307692307693,1.0,1.0
HM-TH-03,31,protocol_only,uncovered,0.55,0.0,0.2,0.1265,0.2,0.1265,0.7692307692307693,1.0,1.0
HM-TH-03,43,protocol_only,uncovered,0.55,0.0,0.2,0.1265,0.2,0.1265,0.7692307692307693,1.0,1.0
HM-TH-03,97,protocol_only,uncovered,0.55,0.0,0.2,0.1265,0.2,0.1265,0.7692307692307693,1.0,1.0
HM-TH-03,17,protocol_only,uncovered,0.55,0.01,0.2008,0.1265,0.2008,0.1265,0.7723076923076923,0.0,1.0
HM-TH-03,31,protocol_only,uncovered,0.55,0.01,0.2008,0.1265,0.2008,0.1265,0.7723076923076923,0.0,1.0
HM-TH-03,43,protocol_only,uncovered,0.55,0.01,0.2008,0.1265,0.2008,0.1265,0.7723076923076923,0.0,1.0
HM-TH-03,97,protocol_only,uncovered,0.55,0.01,0.2008,0.1265,0.2008,0.1265,0.7723076923076923,0.0,1.0
HM-TH-03,17,protocol_only,uncovered,0.55,0.05,0.20400000000000001,0.1265,0.20400000000000001,0.1265,0.7846153846153846,0.0,1.0
HM-TH-03,31,protocol_only,uncovered,0.55,0.05,0.20400000000000001,0.1265,0.20400000000000001,0.1265,0.7846153846153846,0.0,1.0
HM-TH-03,43,protocol_only,uncovered,0.55,0.05,0.20400000000000001,0.1265,0.20400000000000001,0.1265,0.7846153846153846,0.0,1.0
HM-TH-03,97,protocol_only,uncovered,0.55,0.05,0.20400000000000001,0.1265,0.20400000000000001,0.1265,0.7846153846153846,0.0,1.0
HM-TH-03,17,protocol_only,uncovered,0.7,0.0,0.2,0.131,0.2,0.131,0.7692307692307693,1.0,1.0
HM-TH-03,31,protocol_only,uncovered,0.7,0.0,0.2,0.131,0.2,0.131,0.7692307692307693,1.0,1.0
HM-TH-03,43,protocol_only,uncovered,0.7,0.0,0.2,0.131,0.2,0.131,0.7692307692307693,1.0,1.0
HM-TH-03,97,protocol_only,uncovered,0.7,0.0,0.2,0.131,0.2,0.131,0.7692307692307693,1.0,1.0
HM-TH-03,17,protocol_only,uncovered,0.7,0.01,0.2008,0.131,0.2008,0.131,0.7723076923076923,0.0,1.0
HM-TH-03,31,protocol_only,uncovered,0.7,0.01,0.2008,0.131,0.2008,0.131,0.7723076923076923,0.0,1.0
HM-TH-03,43,protocol_only,uncovered,0.7,0.01,0.2008,0.131,0.2008,0.131,0.7723076923076923,0.0,1.0
HM-TH-03,97,protocol_only,uncovered,0.7,0.01,0.2008,0.131,0.2008,0.131,0.7723076923076923,0.0,1.0
HM-TH-03,17,protocol_only,uncovered,0.7,0.05,0.20400000000000001,0.131,0.20400000000000001,0.131,0.7846153846153846,0.0,1.0
HM-TH-03,31,protocol_only,uncovered,0.7,0.05,0.20400000000000001,0.131,0.20400000000000001,0.131,0.7846153846153846,0.0,1.0
HM-TH-03,43,protocol_only,uncovered,0.7,0.05,0.20400000000000001,0.131,0.20400000000000001,0.131,0.7846153846153846,0.0,1.0
HM-TH-03,97,protocol_only,uncovered,0.7,0.05,0.20400000000000001,0.131,0.20400000000000001,0.131,0.7846153846153846,0.0,1.0
HM-TH-03,17,protocol_only,uncovered,0.85,0.0,0.2,0.1355,0.2,0.1355,0.7692307692307693,1.0,1.0
HM-TH-03,31,protocol_only,uncovered,0.85,0.0,0.2,0.1355,0.2,0.1355,0.7692307692307693,1.0,1.0
HM-TH-03,43,protocol_only,uncovered,0.85,0.0,0.2,0.1355,0.2,0.1355,0.7692307692307693,1.0,1.0
HM-TH-03,97,protocol_only,uncovered,0.85,0.0,0.2,0.1355,0.2,0.1355,0.7692307692307693,1.0,1.0
HM-TH-03,17,protocol_only,uncovered,0.85,0.01,0.2008,0.1355,0.2008,0.1355,0.7723076923076923,0.0,1.0
HM-TH-03,31,protocol_only,uncovered,0.85,0.01,0.2008,0.1355,0.2008,0.1355,0.7723076923076923,0.0,1.0
HM-TH-03,43,protocol_only,uncovered,0.85,0.01,0.2008,0.1355,0.2008,0.1355,0.7723076923076923,0.0,1.0
HM-TH-03,97,protocol_only,uncovered,0.85,0.01,0.2008,0.1355,0.2008,0.1355,0.7723076923076923,0.0,1.0
HM-TH-03,17,protocol_only,uncovered,0.85,0.05,0.20400000000000001,0.1355,0.20400000000000001,0.1355,0.7846153846153846,0.0,1.0
HM-TH-03,31,protocol_only,uncovered,0.85,0.05,0.20400000000000001,0.1355,0.20400000000000001,0.1355,0.7846153846153846,0.0,1.0
